OMSI Index,60,
Block Order,
0,1,5,2,4,3,,
Pattern Order in Blocks,
0,1,5,2,4,3,4,5,3,0,2,1,0,1,5,2,4,3,,
1,2,0,3,5,4,5,0,4,1,3,2,1,2,0,3,5,4,,
2,3,1,4,0,5,0,1,5,2,4,3,2,3,1,4,0,5,,
3,4,2,5,1,0,1,2,0,3,5,4,3,4,2,5,1,0,,
4,5,3,0,2,1,2,3,1,4,0,5,4,5,3,0,2,1,,
5,0,4,1,3,2,3,4,2,5,1,0,5,0,4,1,3,2,,
Choice - Block 0,
4,1,5,,
3,2,2,,
4,3,4,,
3,5,5,,
5,5,5,,
6,6,6,,
Choice - Block 1,
3,1,1,,
2,2,2,,
3,3,3,,
4,4,4,,
5,5,5,,
6,6,5,,
Choice - Block 2,
1,2,1,,
2,2,2,,
3,3,3,,
6,6,5,,
5,4,5,,
6,5,1,,
Choice - Block 3,
1,1,1,,
2,2,1,,
3,3,3,,
4,4,4,,
5,5,5,,
6,6,6,,
Choice - Block 4,
1,1,6,,
2,2,2,,
3,3,3,,
4,4,4,,
5,5,5,,
1,6,6,,
Choice - Block 5,
1,1,1,,
2,2,2,,
3,3,3,,
4,4,4,,
5,5,5,,
6,6,6,,
Confidence - Block 0,
59,80,59,,
79,69,90,,
50,91,76,,
51,46,80,,
91,69,91,,
69,67,73,,
Confidence - Block 1,
1,94,94,,
70,95,92,,
66,89,83,,
62,68,64,,
95,95,100,,
53,72,64,,
Confidence - Block 2,
77,60,86,,
85,85,93,,
71,92,92,,
41,59,52,,
53,60,34,,
46,50,65,,
Confidence - Block 3,
84,96,91,,
63,88,92,,
77,91,91,,
83,99,97,,
81,92,88,,
82,79,81,,
Confidence - Block 4,
77,75,45,,
100,100,86,,
92,71,89,,
100,100,100,,
66,55,76,,
64,14,59,,
Confidence - Block 5,
84,100,84,,
91,96,82,,
94,95,90,,
97,92,87,,
94,99,90,,
83,81,86,,
Response Time - Block 0,
21.2104,14.6702,1.86,,
7.54008,11.2302,5.45003,,
24.0905,1.19,0.75,,
19.0203,28.2106,4.76001,,
4.07,18.6203,1.46,,
34.1703,9.35012,3.34,,
Response Time - Block 1,
31.4806,4.77001,0.929999,,
3,4.06,1.35,,
13.2502,1.11,1.59,,
3.28,1.12,1.51,,
1.45,1.51,1.09,,
11.9102,16.5403,3.33,,
Response Time - Block 2,
0.949999,11.5702,0.79,,
2.67,1.88,0.859999,,
1.86,0.959999,0.73,,
6.74006,6.18005,0.969999,,
4.33,1.73,2.71,,
1.7,1.42,4.70001,,
Response Time - Block 3,
0.67,0.929999,1.03,,
0.82,1.01,0.75,,
0.849999,1.49,0.83,,
1.02,0.81,0.949999,,
1.01,1.28,1.02,,
0.75,1.03,0.899999,,
Response Time - Block 4,
3.94,3.05,6.54005,,
0.859999,0.869999,2.21,,
1.65,5.76004,1.33,,
0.65,1.2,0.899999,,
2.32,1.72,1.04,,
3.59,12.7802,2.56,,
Response Time - Block 5,
12.0202,0.83,0.879999,,
0.82,1.14,0.969999,,
3.14,1.49,1.01,,
0.969999,3.54,7.60008,,
0.909999,1.36,0.849999,,
10.6101,0.909999,1.24,,
